idx,membership,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000,nei_delta
1,1,3.054764815636941,1.3019310022527435,1.817383915649325,5.545062219688795,2.3632877975674798,3.2989468903634482,21.216195222754287,15.445261948659402,17.76962051339086,38.5120065456518,28.036508102457823,32.25572419278558,3.1923438496326084,1.3230871613927293,1.8689630052107122,5.1489416929558205,2.134011550633435,3.014456460017278,24.345422632818394,17.861947268560435,20.589323912288055,39.26681069809418,28.80959236864586,33.20858695530332,3.086603747562421,1.3262115324657293,1.8391649344844287,5.479178250110807,2.3542216552646087,3.264789824528572,21.90256487538955,16.08784730816243,18.421149900666975,38.8802926782063,28.558308831057566,32.70026609585854,0.6482412060301508,-0.0017587939698492372,-0.0017587939698492372,0.5175879396984925,-0.002412060301507535,-0.002412060301507535,0.42713567839195976,-0.002864321608040288,-0.002864321608040288,0.3933933933933934,0.09204406805606202,0.14863814863814861,0.3644578313253012,0.4120603015075377,0.1163209531366104,0.16832073556429894,0.3787878787878788,0.39799331103678925,0.10250082355765733,0.15550165363968138,0.37248322147651003,24.0,10.0,10.0,34.0,11.0,11.0,43.0,12.0,12.0,0.00020069920242724663,0.0004998311314177565,0.0002729419271124402,0.0003727715704986423,-2.805402114880451e-05,0.00018514738865160751,-1.0775909423828125
4,1,3.093777674805458,1.3963138662030241,1.917068345614682,6.227996887843666,2.8108802012453027,3.859196408165503,22.060257242720887,16.600175239208003,18.816574513315377,44.408883861163616,33.4173462331769,37.87911732092246,3.1907060302082617,1.3707107341769504,1.9162306780133116,6.318229762788637,2.714278681538516,3.794516194085766,24.30558186163681,18.133752443913874,20.72875751693279,48.129865072548135,35.90842068101757,41.047044587985724,3.062659097355744,1.373927647284425,1.8919504143916863,6.125318194711488,2.74785529456885,3.7839008287833726,21.38434468119086,15.97173449919947,18.160067862084784,42.76868936238172,31.94346899839894,36.32013572416957,0.7085427135678393,-0.0014572864321606982,-0.0014572864321606982,0.5778894472361809,-0.002110552763819218,-0.002110552763819218,0.44723618090452266,-0.0027638190954772934,-0.0027638190954772934,0.4267100977198697,0.11614099202881278,0.18402320714565512,0.3921568627450981,0.42713567839195976,0.10132114205110765,0.16503217254888802,0.38383838383838387,0.4247491638795987,0.1175705328278458,0.18448220058705145,0.3825503355704698,24.0,13.0,13.0,40.0,20.0,20.0,47.0,18.0,18.0,0.0009312680833349274,0.00023304050771248848,6.236683058034111e-05,-0.005834116500113673,-0.005092155338830118,-0.006259992927206248,-0.9600138664245605
8,1,3.038679198627054,1.3978017973631924,1.6983998667392486,5.419635626988512,2.4930490931326204,3.029180714703768,20.877649787869,15.717955138498642,17.057539352863902,37.23632776018194,28.033755485114465,30.42297062069233,2.7182724200301434,1.1684435623238392,1.6356258628240388,4.686676586258868,2.014557866075585,2.8200445910759293,15.15411966435112,10.443455744579303,12.201636528638328,26.127792524743313,18.00595818030915,21.037304359721258,2.8725344062250193,1.3278277165305303,1.8133765297552193,5.160241448308418,2.3853192512524495,3.2575626283027894,17.68177425961554,12.9951774613481,14.797832928094964,31.763666334638696,23.344630170086404,26.58293340376341,0.6030150753768844,-0.0019849246231156137,-0.0019849246231156137,0.48743718592964824,-0.002562814070351749,-0.002562814070351749,0.3869346733668342,-0.0030653266331658324,-0.0030653266331658324,0.4233576642335767,0.1402470931521672,0.17311328495693934,0.4317073170731708,0.40703517587939697,0.13134595282175288,0.1833289989177943,0.36868686868686873,0.42140468227424754,0.1476150328585547,0.20115996592274588,0.3993288590604027,23.0,7.0,7.0,34.0,9.0,9.0,42.0,9.0,9.0,0.00031791417624798163,-6.974443240998381e-05,0.0001265670740014993,-0.01906820172530832,-0.014786576893134118,-0.01754843302353226,-1.1689038276672363
3,1,3.1634464109190095,1.423388088551854,1.9636327523993806,6.111203293820813,2.749726989247899,3.7933814534988026,23.65197003199898,17.95429431708214,20.33247172712595,45.691305743634395,34.684432203454136,39.27863856376604,3.493113231419319,1.5348887053940201,2.128947124695336,5.870778540200536,2.57964488301516,3.5780623944459435,32.8881769978955,25.80144342016814,28.975717879951112,55.27424705528656,43.36377045406411,48.698685512522886,3.0748035102384943,1.3856249166698038,1.9180018462446333,6.029026490663714,2.7169116013133405,3.760787933813006,21.645628349283033,16.23059741267295,18.465881253524163,42.44240852800595,31.824700809162643,36.20761030102777,0.6934673366834171,-0.0015326633165829717,-0.0015326633165829717,0.5879396984924623,-0.002060301507537776,-0.002060301507537776,0.4824120603015075,-0.0025879396984924696,-0.0025879396984924696,0.4247787610619469,0.13317345914736667,0.19121644506587232,0.3846153846153846,0.44221105527638194,0.12642158159217143,0.20514928566035517,0.398989898989899,0.42140468227424754,0.13258999112232772,0.19448588360906405,0.3657718120805369,27.0,16.0,16.0,37.0,11.0,11.0,46.0,13.0,13.0,0.0019420549242024532,-9.575122990264248e-05,0.0004660589610283292,0.0003490780111610192,-5.1295171446419374e-05,0.00017032920177317834,-1.6832494735717773
0,1,3.1608338458386154,1.3755101940090844,1.8462715293244352,5.371933578373609,2.337721550381636,3.1377948057063167,23.59025836897984,17.628749280275795,19.867137289006326,40.09236398859485,29.960597368356048,33.764806096808876,3.2988310201683237,1.3589592500696304,1.9310658528476137,4.646240873476512,1.9140271127741268,2.7198110603487513,27.08096331025807,20.123104602362375,23.154397644933685,38.1422018454339,28.342400848397713,32.61182766892068,3.1597437212698436,1.4128092566114026,1.946748736559269,4.962948253303419,2.21907213080325,3.057720528627124,23.564556060652354,17.82756731067626,20.2010127175484,37.012391718302126,28.00141462409884,31.729339346934665,0.7336683417085428,-0.001331658291457205,-0.001331658291457205,0.5628140703517588,-0.0021859296482411583,-0.0021859296482411583,0.4723618090452262,-0.0026381909547738003,-0.0026381909547738003,0.4349030470914127,0.09742033616471835,0.1563106717248438,0.4027777777777778,0.42211055276381915,0.10632107907960864,0.1549986996753383,0.398989898989899,0.4381270903010034,0.11091507026761438,0.17895022711969077,0.3959731543624161,26.0,13.0,13.0,37.0,12.0,12.0,50.0,17.0,17.0,0.0004955357397447265,9.890990393541922e-06,0.00018864431273093118,0.0002622016269242522,-0.0001365127225412266,0.00011599584989241407,-1.2241220474243164
7,1,3.3952511676563106,1.5309056149238185,2.1076754415275163,6.156722117350109,2.776042181728524,3.8219181339698953,29.822142892085388,23.37043069345288,26.198152539348772,54.077485777648164,42.378380990794554,47.505983271352434,3.257020838895635,1.4052301496089035,1.9646790406004722,5.520374303212941,2.3817460162862774,3.329964475594021,25.972046860007552,19.600828674034744,22.330743081975868,44.020418406792466,33.22174351531313,37.848717088094695,3.3952511676563106,1.5309056149238185,2.1076754415275163,6.156722117350109,2.776042181728524,3.8219181339698953,29.822142892085388,23.37043069345288,26.198152539348772,54.077485777648164,42.378380990794554,47.505983271352434,0.7437185929648241,-0.0012814070351758744,-0.0012814070351758744,0.5778894472361809,-0.002110552763819218,-0.002110552763819218,0.4371859296482412,-0.002814070351758735,-0.002814070351758735,0.39852398523985244,0.07439875503727422,0.1396282797183801,0.37777777777777777,0.40703517587939697,0.08623317086686566,0.14827056819993123,0.3535353535353535,0.39852398523985244,0.07439875503727422,0.1396282797183801,0.37777777777777777,25.0,7.0,7.0,38.0,12.0,12.0,45.0,9.0,9.0,0.00022164340517244127,0.0003052249974120139,0.00018016585772475665,-0.00019024471046957814,0.00021210453193631906,5.782182176528039e-05,-0.8801617622375488
9,1,3.095441375966409,1.3679799755539572,1.8979882410901623,5.0961534848227465,2.2521621548754176,3.124736738380146,22.096989465554767,16.470636758619456,18.785317673945595,36.37918997377919,27.116292224556418,30.92704739003238,3.376687349386551,1.4813042749177134,2.0693719972205136,5.039831864756046,2.210901902862259,3.0886149212246474,29.273636984884888,22.618539670625566,25.577399700031446,43.69199549982819,33.7590144337695,38.17522343288275,3.095441375966409,1.3679799755539572,1.8979882410901623,5.0961534848227465,2.2521621548754176,3.124736738380146,22.096989465554767,16.470636758619456,18.785317673945595,36.37918997377919,27.116292224556418,30.92704739003238,0.7487437185929648,-0.0012562814070351536,-0.0012562814070351536,0.6080402010050252,-0.001959798994974782,-0.001959798994974782,0.4824120603015075,-0.0025879396984924696,-0.0025879396984924696,0.43122676579925645,0.1102620162630783,0.17041094379678423,0.33582089552238803,0.42211055276381915,0.08877721943048578,0.1566681487571413,0.3484848484848485,0.43122676579925645,0.1102620162630783,0.17041094379678423,0.33582089552238803,26.0,3.0,3.0,38.0,6.0,6.0,47.0,6.0,6.0,0.0005433343329359202,0.0006366977331960012,0.00019980460931474502,-0.014187176285211045,-0.012753707707002349,-0.01451198622619998,-1.5040206909179688
4,0,4.044688420690549,1.8601875357565922,2.537767857223071,6.467395190444279,2.97441154194582,4.057852157488666,57.09339414217511,48.20718193822711,52.58058168672229,91.2914677907876,77.08254979970324,84.07554939755087,4.315588924753007,1.9390086404001186,2.6783955275430875,6.489607405643619,2.9158024667670954,4.027662447433214,74.85769601509142,64.08967973977997,69.71697473128992,112.5679639324683,96.37545825530822,104.83755598690215,4.0784625831655035,1.8729052043822536,2.558674695853222,6.372597786196099,2.9264143818472714,3.99792921227066,59.05460847265337,49.97929992981994,54.48335300163718,92.2728257385209,78.09265614034365,85.13023906505809,0.7688442211055276,-0.0011557788944723812,-0.0011557788944723812,0.6733668341708543,-0.001633165829145744,-0.001633165829145744,0.5879396984924623,-0.002060301507537776,-0.002060301507537776,0.46178343949044587,0.13268963980841086,0.20754615135485266,0.43450479233226835,0.4723618090452262,0.1290034130552512,0.21359720136576044,0.4494949494949495,0.4682274247491639,0.1343376083885629,0.2090505615678513,0.4395973154362416,28.0,8.0,8.0,41.0,10.0,10.0,48.0,7.0,7.0,0.0008075579185905774,-0.00022365466694744822,0.00011324936891705532,-0.00793299696757721,-0.006221560826102035,-0.007600144971505962,-1.199537754058838
7,0,3.6854063478170658,1.7108066369345392,2.335472099060667,6.166431536216789,2.8625261376159608,3.907718021957717,39.86131671841963,32.65758121873409,36.00414480991032,66.69605934585245,54.64275027448318,60.2422292244251,3.967370823999146,1.803013270849323,2.503793749519965,6.347793318398634,2.8848212333589167,4.0060699992319435,52.8454081519331,44.13640310559546,48.52401830440335,84.55265304309296,70.61824496895275,77.63842928704537,3.6854063478170658,1.7108066369345392,2.335472099060667,6.166431536216789,2.8625261376159608,3.907718021957717,39.86131671841963,32.65758121873409,36.00414480991032,66.69605934585245,54.64275027448318,60.2422292244251,0.7989949748743719,-0.0010050251256281673,-0.0010050251256281673,0.6633165829145728,-0.0016834170854271857,-0.0016834170854271857,0.5678391959798995,-0.0021608040201005485,-0.0021608040201005485,0.4274509803921569,0.09476996277963246,0.1706061303269678,0.39370078740157477,0.4321608040201005,0.08378987670180471,0.16504895093161964,0.4191919191919192,0.4274509803921569,0.09476996277963246,0.1706061303269678,0.39370078740157477,21.0,1.0,1.0,37.0,3.0,3.0,45.0,3.0,3.0,0.0005753434375427042,0.00041149797413362146,0.0002678729188545835,-7.936596070123869e-05,-0.0001398081572467902,0.00011389473326595123,-1.187490701675415
1,0,3.6146403047062408,1.715754105133663,2.3300817523889195,6.510707536790157,3.0904245628612372,4.196954481712572,37.13798516440577,30.459533328655432,33.52491254182739,66.89311785636943,54.863858224505876,60.38523403618307,3.6118799549850387,1.627427803868168,2.2657976061296488,6.449785633901854,2.906121078336014,4.0460671538029445,37.035612694323326,29.76055203468892,33.19326964792552,66.1350226684345,53.143842919087355,59.273695799866985,3.6146403047062408,1.715754105133663,2.3300817523889195,6.510707536790157,3.0904245628612372,4.196954481712572,37.13798516440577,30.459533328655432,33.52491254182739,66.89311785636943,54.863858224505876,60.38523403618307,0.7185929648241206,-0.0014070351758793676,-0.0014070351758793676,0.5728643216080402,-0.0021356783919597166,-0.0021356783919597166,0.48743718592964824,-0.002562814070351749,-0.002562814070351749,0.4295302013422819,0.12299753802569902,0.18957484419942483,0.4107744107744108,0.4321608040201005,0.13140892432085238,0.18508233991325573,0.4040404040404041,0.4295302013422819,0.12299753802569902,0.18957484419942483,0.4107744107744108,24.0,13.0,13.0,36.0,20.0,20.0,46.0,18.0,18.0,0.00025635252034690765,0.0002835607456881441,0.00021369778681981137,-0.008840074083160232,-0.010381466981270293,-0.009809269016846756,-0.48180055618286133
6,0,3.9667626515482413,1.859858834881611,2.5455493883200435,6.529143494784373,3.061258330705758,4.1898794279801965,52.81327880162145,44.59053608969211,48.671135899100975,86.92868871074339,73.39436064452428,80.1108758587687,3.9301464815235616,1.809614802128713,2.496845947767172,5.954767396247821,2.741840609285929,3.7830999208593514,50.91443514702836,42.57886698745871,46.72192123192519,77.14308355610356,64.51343482948289,70.79078974534119,3.9667626515482413,1.859858834881611,2.5455493883200435,6.529143494784373,3.061258330705758,4.1898794279801965,52.81327880162145,44.59053608969211,48.671135899100975,86.92868871074339,73.39436064452428,80.1108758587687,0.7738693467336684,-0.0011306532663316604,-0.0011306532663316604,0.6582914572864322,-0.0017085427135676845,-0.0017085427135676845,0.5477386934673367,-0.002261306532663321,-0.002261306532663321,0.4545454545454546,0.1331843959443204,0.20895351499885506,0.44106463878326996,0.457286432160804,0.1264593644916311,0.20353017172674726,0.43434343434343436,0.4545454545454546,0.1331843959443204,0.20895351499885506,0.44106463878326996,26.0,3.0,3.0,36.0,3.0,3.0,46.0,5.0,5.0,-0.00027537718172908793,0.00048334810649422813,0.00023510770142297095,-0.000141735257445319,-0.00018927773293242467,8.23537205478786e-05,-0.7500829696655273
8,0,3.9405241696643425,1.803457595065729,2.4894456898760957,6.12970426392231,2.805378481213356,3.872471073140593,51.445560436474935,42.971018740793035,47.177845758321006,80.02642734562767,66.8438069301225,73.38776006849933,3.8828608450578086,1.7732188335778836,2.4549939815698516,5.883122492511831,2.6866952023907325,3.7196878508634112,48.56294759922307,40.31765856182028,44.393152642767674,73.58022363518647,61.08736145730345,67.26235248904193,3.9405241696643425,1.803457595065729,2.4894456898760957,6.12970426392231,2.805378481213356,3.872471073140593,51.445560436474935,42.971018740793035,47.177845758321006,80.02642734562767,66.8438069301225,73.38776006849933,0.7638190954773869,-0.001180904522613102,-0.001180904522613102,0.6080402010050252,-0.001959798994974782,-0.001959798994974782,0.5326633165829145,-0.0023366834170853723,-0.0023366834170853723,0.43881856540084385,0.11250277592715963,0.18496162290435014,0.4491525423728814,0.44221105527638194,0.12391531592801097,0.19513259116953718,0.4494949494949495,0.43881856540084385,0.11250277592715963,0.18496162290435014,0.4491525423728814,26.0,4.0,4.0,41.0,9.0,9.0,50.0,6.0,6.0,-1.4777251495444163e-05,4.120656753810907e-05,-0.0001136104167415202,4.537263278781012e-05,-4.0869005880850295e-05,-6.618974063954397e-05,-0.7157697677612305
5,0,3.9019574855025665,1.87017470109824,2.5398660945613987,6.286487059976357,3.0130592406582757,4.092006485682253,49.49924839413836,41.87157565374863,45.59489810221227,79.74878907944513,67.45976077548389,73.4584469424531,3.8916522030854344,1.810690876775523,2.4919661149373713,5.808436124008111,2.702523696679885,3.719352410354286,48.991764035997264,40.979596515293174,44.93783684470404,73.12203587462278,61.163576888497275,67.07139827567767,3.9019574855025665,1.87017470109824,2.5398660945613987,6.286487059976357,3.0130592406582757,4.092006485682253,49.49924839413836,41.87157565374863,45.59489810221227,79.74878907944513,67.45976077548389,73.4584469424531,0.7939698492462312,-0.001030150753768888,-0.001030150753768888,0.6432160804020101,-0.001783919597989958,-0.001783919597989958,0.5376884422110553,-0.0023115577889447625,-0.0023115577889447625,0.44982698961937717,0.12685635058656197,0.19551168467116087,0.40625,0.4371859296482412,0.10385259631490784,0.18342966921418447,0.38383838383838387,0.44982698961937717,0.12685635058656197,0.19551168467116087,0.40625,22.0,5.0,5.0,35.0,6.0,6.0,43.0,7.0,7.0,0.0005028611353983291,0.0003935609761120291,9.091109863967536e-05,-0.0003149833039568506,0.00014238108104080993,-5.260203672641239e-06,-1.3286986351013184
9,0,3.9084205957780402,1.7982546361694616,2.4675239061249616,6.602061817192636,3.037592290826794,4.168114706292165,49.82020356214625,41.570593289029276,45.59572139354435,84.15574926038218,70.22059677200892,77.01979965125736,4.208346041003663,1.9438347073325333,2.6766796353927367,6.524567505432036,3.0136972206705943,4.149890907585638,67.24522693397742,57.61880758942499,62.619347940220194,104.25616578911227,89.33148463476742,97.0842603724344,3.9084205957780402,1.7982546361694616,2.4675239061249616,6.602061817192636,3.037592290826794,4.168114706292165,49.82020356214625,41.570593289029276,45.59572139354435,84.15574926038218,70.22059677200892,77.01979965125736,0.8090452261306533,-0.0009547738693467256,-0.0009547738693467256,0.6783919597989949,-0.0016080402010050232,-0.0016080402010050232,0.5829145728643217,-0.002085427135678275,-0.002085427135678275,0.4538152610441767,0.13317397847904644,0.2001436989613996,0.3870967741935484,0.4371859296482412,0.1013463306507475,0.17341297472336648,0.4040404040404041,0.4538152610441767,0.13317397847904644,0.2001436989613996,0.3870967741935484,27.0,0.0,0.0,37.0,0.0,0.0,47.0,0.0,0.0,0.0005528753733021615,0.00046293503204230445,0.0006263688556474201,-3.7786429536446065e-05,-0.00010682844012599446,0.00013492207507859177,-1.1175470352172852
